México|Javier Aguirre
África do Sul|Hugo Broos
República da Coreia|Hong Myung-bo
Tchéquia|Miroslav Koubek
Canadá|Jesse Marsch
Catar|Julen Lopetegui
Suíça|Murat Yakin
Bósnia e Herzegovina|Sergej Barbarez
Brasil|Carlo Ancelotti
Marrocos|Mohamed Ouahbi
Haiti|Sébastien Migné
Escócia|Steve Clarke
Estados Unidos|Mauricio Pochettino
Paraguai|Gustavo Alfaro
Austrália|Tony Popovic
Turquia|Vincenzo Montella
Alemanha|Julian Nagelsmann
Curaçao|Dick Advocaat
Côte d'Ivoire|Emerse Faé
Equador|Sebastián Beccacece
Países Baixos|Ronald Koeman
Japão|Hajime Moriyasu
Tunísia|Sabri Lamouchi
Suécia|Graham Potter
Bélgica|Rudi Garcia
Egito|Hossam Hassan
República Islâmica do Irã|Amir Ghalenoei
Nova Zelândia|Darren Bazeley
Espanha|Luis de la Fuente
Cabo Verde|Pedro Leitão Brito
Arábia Saudita|Georgios Donis
Uruguai|Marcelo Bielsa
França|Didier Deschamps
Senegal|Pape Thiaw
Iraque|Graham Arnold
Noruega|Ståle Solbakken
Argentina|Lionel Scaloni
Argélia|Vladimir Petković
Áustria|Ralf Rangnick
Jordânia|Jamal Sellami
Portugal|Roberto Martínez
República Democrática do Congo|Sébastien Desabre
Uzbequistão|Fabio Cannavaro
Colômbia|Néstor Lorenzo
Inglaterra|Thomas Tuchel
Croácia|Zlatko Dalic
Gana|Carlos Queiroz
Panamá|Thomas Christiansen
